张小强,10,2017-07-27,11370,吴京意淫到了脑残的地步，看了恶心想吐
俏皮面,20,2017-07-23,8182,首映礼看的。太恐怖了这个电影，不讲道理的，完全就是吴京在实现他这个小粉红的英雄梦。各种装备轮番上场，视物理逻辑于不顾，不得不说有钱真好，随意胡闹
Criminal001,20,2017-07-27,7308,吴京的炒作水平不输冯小刚，但小刚至少不会用主旋律来炒作…吴京让人看了不舒服，为了主旋律而主旋律，为了煽情而煽情，让人觉得他是个大做作、大谎言家。（7.29更新）片子整体不如湄公河行动，1.整体不够流畅，编剧有毒，台词尴尬；2.刻意做作的主旋律煽情显得如此不合时宜而又多余。
谢谢你们的鱼,40,2017-07-23,15322,凭良心说，好看到不像《战狼1》的续集，完虐《湄公河行动》。PS：我也是醉了，那些说吴京角色打不死的，我想问你们哪部商业动作片没有个人英雄主义的，真为你们感到丢人。
比河更长更舒缓,10,2017-07-28,4977,“犯我中华者，虽远必诛”，吴京比这句话还要意淫一百倍。
丢三拉四少女悬,20,2017-07-26,4524,脑子是个好东西，希望编剧们都能有。
懒小欢,10,2017-07-26,4527,中二得很
法兰西胶片,40,2017-07-22,7588,三星半，实打实的7分。第一集在爱国主旋律内部做着各种置换与较劲，但第二集才真正显露吴京的野心，他终于抛弃李忠志了，新增外来班底让硬件实力有机会和国际接轨，开篇水下长镜头和诸如铁丝网拦截RPG弹头的细节设计都让国产动作片重新封顶，在理念上，它甚至做到《绣春刀2》最想做到的那部分。
喜悦姑娘的猫儿,40,2017-07-27,8013,开篇长镜头惊险大气引人入胜 结合了水平不俗的快剪下实打实的真刀真枪 让人不禁热血沸腾 特别弹簧床架挡炸弹 空手接碎玻璃 弹匣割喉等帅得飞起！就算前半段铺垫节奏散漫主角光环开太大等也不怕 作为一个中国人 两个小时弥漫着中国强大得不可侵犯的氛围 还是让那颗民族自豪心砰砰砰跳个不停。
SELVEN,10,2017-07-27,2988,15/100吴京的冷峰在这部里即像成龙，又像杰森斯坦森，但体制外的同类型电影，主角总是代表个人，无能的政府需要求助于这些英雄才能解决难题，体现的是个人的价值，所以主旋律照抄这种模式实际上是有问题的。我们以前嘲笑个人英雄主义，却没想到捆绑爱国主义的全能战士更加难以下咽。
武侠小王子,10,2017-07-28,3009,犯我中华者虽远必诛，是有多无脑才会信这句话。
小裁缝,10,2017-07-28,2524,假嗨，特别恶心的电影。
九幽第一少,40,2017-07-27,6975,这部戏让人看的热血沸腾，对吴京路转粉，最后的彩蛋，让我们没有理由不期待下一部。
盲匪,50,2017-07-28,3893,赵东来：达康书记，我们接到在非洲卧底的冷锋报告，丁义珍现在非洲，我们请求抓捕。李达康：东来，这件事先不要声张，特别是别让省厅知道，就你和我一起去非洲，加上冷锋同志，三人逮捕丁义珍。这次行就叫战狼2吧
二师兄,20,2017-07-26,1940,下一部拍喜剧吧，整个片子真感觉挺搞笑的
丝米,20,2017-07-27,2114,就是一部爽片，打戏挺燃，但是故事一般。达康书记不合适这个角色，赵东来倒是很合适。张瀚太太太违和了，分分钟穿越回偶像剧。
电影狂魔,20,2017-07-27,1854,这都能火。是我没见识！
饱嗝,30,2017-07-23,1869,《战狼2》里吴京这么能打，他打得过徐晓冬么？
张佳玮,40,2017-07-31,1683,开头的水下长对决戏可算华语电影的顶尖存在；驱逐舰、导弹和坦克在商业片里这么狂用也是了得；镜头运用和笑点插入都很好莱坞爆米花，不功不过；从头打到尾是真拼，虽然镜头也有略乱时；因为没啥期望值，所以被吴京的野心吓了一跳；吴刚、于谦和丁海峰老三位像炖烂熟的牛筋，嚼着就舒服。
结冰,30,2017-07-26,2518,心往一处想，劲往一处使，就能实现我们的梦想。看吧，比第一部好太多了。谢谢美队的动作指导。
